-5.05e+00 -5.05e+00 2.04e-01 5.59e-02 
-3.93e+00 -5.05e+00 2.07e-01 1.84e-01 
-2.81e+00 -5.05e+00 1.36e-01 2.05e-01 
-1.68e+00 -5.05e+00 -4.70e-02 -5.87e-02 
-5.61e-01 -5.05e+00 -1.60e-02 2.78e-01 
5.61e-01 -5.05e+00 1.07e-01 7.91e-02 
1.68e+00 -5.05e+00 1.94e-02 -2.39e-02 
2.81e+00 -5.05e+00 2.71e-01 2.32e-01 
3.93e+00 -5.05e+00 7.38e-02 2.70e-01 
5.05e+00 -5.05e+00 1.81e-01 3.93e-02 
-5.05e+00 -3.93e+00 7.33e-02 2.58e-02 
-3.93e+00 -3.93e+00 1.47e-01 3.33e-01 
-2.81e+00 -3.93e+00 1.14e-01 2.12e-01 
-1.68e+00 -3.93e+00 2.51e-01 7.60e-02 
-5.61e-01 -3.93e+00 3.78e-02 1.83e-01 
5.61e-01 -3.93e+00 3.80e-02 2.51e-01 
1.68e+00 -3.93e+00 -6.27e-02 2.19e-01 
2.81e+00 -3.93e+00 5.45e-03 1.26e-01 
3.93e+00 -3.93e+00 1.87e-01 -9.31e-02 
5.05e+00 -3.93e+00 -5.21e-02 9.32e-02 
-5.05e+00 -2.81e+00 1.74e-01 1.39e-01 
-3.93e+00 -2.81e+00 -2.35e-02 1.56e-01 
-2.81e+00 -2.81e+00 1.56e-01 -9.95e-02 
-1.68e+00 -2.81e+00 -5.45e-02 7.77e-02 
-5.61e-01 -2.81e+00 -5.95e-02 -3.90e-03 
5.61e-01 -2.81e+00 1.59e-01 9.05e-02 
1.68e+00 -2.81e+00 -3.36e-02 1.34e-01 
2.81e+00 -2.81e+00 8.36e-02 1.33e-01 
3.93e+00 -2.81e+00 2.71e-01 -1.13e-01 
5.05e+00 -2.81e+00 1.56e-01 9.81e-02 
-5.05e+00 -1.68e+00 9.99e-02 3.66e-02 
-3.93e+00 -1.68e+00 1.45e-01 1.90e-01 
